Ticker,Company_name,CUSIP,Market_Cap,Sector
CMCSA,COMCAST CORP CLASS A,20030N101,110100275200.0,Communication Services
DUK,DUKE ENERGY CORP,26441C204,104048467968.0,Utilities
EQIX,EQUINIX INC,29444U700,97056219136.0,Real Estate
WMB,WILLIAMS COS INC,969457100,89339019264.0,Energy
AMT,AMERICAN TOWER CORP,03027X100,86899720192.0,Real Estate
MAR,MARRIOTT INTERNATIONAL  CL A,571903202,85527748608.0,Consumer Cyclical
FCX,FREEPORT MCMORAN INC,35671D857,82926534656.0,Basic Materials
SHW,SHERWIN WILLIAMS CO/THE,824348106,80701480960.0,Basic Materials
ECL,ECOLAB INC,278865100,78583734272.0,Basic Materials
MNST,MONSTER BEVERAGE CORP,61174X109,76618162176.0,Consumer Defensive
KMI,KINDER MORGAN INC,49456B101,74041556992.0,Energy
MDLZ,MONDELEZ INTERNATIONAL INC A,609207105,73531080704.0,Consumer Defensive
AEP,AMERICAN ELECTRIC POWER,025537101,72856748032.0,Utilities
EOG,EOG RESOURCES INC,26875P101,72705474560.0,Energy
CL,COLGATE PALMOLIVE CO,194162103,72331689984.0,Consumer Defensive
VLO,VALERO ENERGY CORP,91913Y100,70780510208.0,Energy
CRH,CRH PLC,G25508105,68345724928.0,Basic Materials
WBD,WARNER BROS DISCOVERY INC,934423104,67942584320.0,Communication Services
APD,AIR PRODUCTS + CHEMICALS INC,009158106,64256294912.0,Basic Materials
DLR,DIGITAL REALTY TRUST INC,253868103,63893532672.0,Real Estate
SRE,SEMPRA,816851109,62707113984.0,Utilities
SPG,SIMON PROPERTY GROUP INC,828806109,61650137088.0,Real Estate
O,REALTY INCOME CORP,756109104,61031243776.0,Real Estate
D,DOMINION ENERGY INC,25746U109,55846825984.0,Utilities
VST,VISTRA CORP,92840M102,54740647936.0,Utilities
CTVA,CORTEVA INC,22052L104,53673390080.0,Basic Materials
EXC,EXELON CORP,30161N101,51257147392.0,Utilities
XEL,XCEL ENERGY INC,98389B100,51223408640.0,Utilities
PSA,PUBLIC STORAGE,74460D109,50544099328.0,Real Estate
VTR,VENTAS INC,92276F100,41749442560.0,Real Estate
CBRE,CBRE GROUP INC   A,12504L109,40716677120.0,Real Estate
