Ticker,Company_name,CUSIP,source,Market_Cap,Sector
STX,SEAGATE TECHNOLOGY HOLDINGS,G7997R103,sp500_row_504.csv,85960777728.0,Technology
MRSH,MARSH + MCLENNAN COS,571748102,sp500_row_504.csv,84337950720.0,Financial Services
ADP,AUTOMATIC DATA PROCESSING,053015103,sp500_row_504.csv,84335648768.0,Technology
PWR,QUANTA SERVICES INC,74762E102,sp500_row_504.csv,83640254464.0,Industrials
MAR,MARRIOTT INTERNATIONAL  CL A,571903202,sp500_row_504.csv,83154804736.0,Consumer Cyclical
FDX,FEDEX CORP,31428X106,"dow_row_179.csv, sp500_row_504.csv",82980814848.0,Industrials
UPS,UNITED PARCEL SERVICE CL B,911312106,"dow_row_179.csv, sp500_row_504.csv",82541174784.0,Industrials
PNC,PNC FINANCIAL SERVICES GROUP,693475105,sp500_row_504.csv,81319657472.0,Financial Services
FCX,FREEPORT MCMORAN INC,35671D857,sp500_row_504.csv,81029431296.0,Basic Materials
BK,BANK OF NEW YORK MELLON CORP,064058100,"dow_row_179.csv, sp500_row_504.csv",81011048448.0,Financial Services
NKE,NIKE INC  CL B,654106103,"dow_row_179.csv, dow_row_31.csv, sp500_row_504.csv",79911092224.0,Consumer Cyclical
JCI,JOHNSON CONTROLS INTERNATION,G51502105,sp500_row_504.csv,79666536448.0,Industrials
KKR,KKR + CO INC,48251W104,sp500_row_504.csv,79581446144.0,Financial Services
MMM,3M CO,88579Y101,"dow_row_179.csv, dow_row_31.csv, sp500_row_504.csv",79510634496.0,Industrials
USB,US BANCORP,902973304,sp500_row_504.csv,79238479872.0,Financial Services
SHW,SHERWIN WILLIAMS CO/THE,824348106,"dow_row_31.csv, sp500_row_504.csv",79233417216.0,Basic Materials
CDNS,CADENCE DESIGN SYS INC,127387108,sp500_row_504.csv,79184543744.0,Technology
SNPS,SYNOPSYS INC,871607107,sp500_row_504.csv,79044239360.0,Technology
REGN,REGENERON PHARMACEUTICALS,75886F107,sp500_row_504.csv,78842667008.0,Healthcare
MSI,MOTOROLA SOLUTIONS INC,620076307,sp500_row_504.csv,78800494592.0,Technology
CTAS,CINTAS CORP,172908105,sp500_row_504.csv,78074658816.0,Industrials
ECL,ECOLAB INC,278865100,sp500_row_504.csv,77657546752.0,Basic Materials
ORLY,O REILLY AUTOMOTIVE INC,67103H107,sp500_row_504.csv,77269286912.0,Consumer Cyclical
ITW,ILLINOIS TOOL WORKS,452308109,sp500_row_504.csv,76946513920.0,Industrials
MCO,MOODY S CORP,615369105,sp500_row_504.csv,76543442944.0,Financial Services
ABNB,AIRBNB INC CLASS A,009066101,sp500_row_504.csv,75718615040.0,Consumer Cyclical
MNST,MONSTER BEVERAGE CORP,61174X109,sp500_row_504.csv,75434459136.0,Consumer Defensive
EMR,EMERSON ELECTRIC CO,291011104,sp500_row_504.csv,74358833152.0,Industrials
RCL,ROYAL CARIBBEAN CRUISES LTD,V7780T103,sp500_row_504.csv,74325188608.0,Consumer Cyclical
KMI,KINDER MORGAN INC,49456B101,sp500_row_504.csv,74286284800.0,Energy
CMI,CUMMINS INC,231021106,sp500_row_504.csv,74016620544.0,Industrials
CSX,CSX CORP,126408103,sp500_row_504.csv,73080578048.0,Industrials
EOG,EOG RESOURCES INC,26875P101,sp500_row_504.csv,72491155456.0,Energy
AEP,AMERICAN ELECTRIC POWER,025537101,sp500_row_504.csv,72264507392.0,Utilities
CI,THE CIGNA GROUP,125523100,sp500_row_504.csv,71373348864.0,Healthcare
CL,COLGATE PALMOLIVE CO,194162103,"dow_row_179.csv, sp500_row_504.csv",71209525248.0,Consumer Defensive
MDLZ,MONDELEZ INTERNATIONAL INC A,609207105,"dow_row_179.csv, sp500_row_504.csv",70827778048.0,Consumer Defensive
VLO,VALERO ENERGY CORP,91913Y100,sp500_row_504.csv,70332145664.0,Energy
DASH,DOORDASH INC   A,25809K105,sp500_row_504.csv,70099042304.0,Consumer Cyclical
RSG,REPUBLIC SERVICES INC,760759100,sp500_row_504.csv,69428920320.0,Industrials
PSX,PHILLIPS 66,718546104,sp500_row_504.csv,69224529920.0,Energy
AON,AON PLC CLASS A,G0403H108,sp500_row_504.csv,69082341376.0,Financial Services
TDG,TRANSDIGM GROUP INC,893641100,sp500_row_504.csv,68596183040.0,Industrials
COR,CENCORA INC,03073E105,sp500_row_504.csv,68076015616.0,Healthcare
MPC,MARATHON PETROLEUM CORP,56585A102,sp500_row_504.csv,67990261760.0,Energy
HLT,HILTON WORLDWIDE HOLDINGS IN,43300A203,sp500_row_504.csv,67766468608.0,Consumer Cyclical
GM,GENERAL MOTORS CO,37045V100,sp500_row_504.csv,67529830400.0,Consumer Cyclical
TRV,TRAVELERS COS INC/THE,89417E109,"dow_row_179.csv, dow_row_31.csv, sp500_row_504.csv",67474452480.0,Financial Services
WBD,WARNER BROS DISCOVERY INC,934423104,sp500_row_504.csv,67334733824.0,Communication Services
LHX,L3HARRIS TECHNOLOGIES INC,502431109,sp500_row_504.csv,67144486912.0,Industrials
SLB,SLB LTD,806857108,"dow_row_179.csv, sp500_row_504.csv",67130683392.0,Energy
ROST,ROSS STORES INC,778296103,sp500_row_504.csv,67087675392.0,Consumer Cyclical
CRH,CRH PLC,G25508105,sp500_row_504.csv,66819493888.0,Basic Materials
HOOD,ROBINHOOD MARKETS INC   A,770700102,sp500_row_504.csv,66073632768.0,Financial Services
CVNA,CARVANA CO,146869102,sp500_row_504.csv,65775673344.0,Consumer Cyclical
NSC,NORFOLK SOUTHERN CORP,655844108,sp500_row_504.csv,64984408064.0,Industrials
ELV,ELEVANCE HEALTH INC,036752103,sp500_row_504.csv,64364105728.0,Healthcare
APD,AIR PRODUCTS + CHEMICALS INC,009158106,sp500_row_504.csv,64120475648.0,Basic Materials
DLR,DIGITAL REALTY TRUST INC,253868103,sp500_row_504.csv,62828376064.0,Real Estate
SRE,SEMPRA,816851109,sp500_row_504.csv,62133858304.0,Utilities
FTNT,FORTINET INC,34959E109,sp500_row_504.csv,62050000896.0,Technology
